StationCode,LandUse,PercentUrbanLandUse,Year,SampleDate,SumPyrethroid_ToxicUnits
535STC504,Agriculture,4.531046907,2012,9/6/12,0.40620155
520BUTPAS,Agriculture,2.438297167,2011,8/18/11,0.398477298
904ESCOxx,Urban,56.73274445,2014,5/13/14,0.395348837
719CVSCOT,Open,6.904142485,2013,10/21/13,0.390653696
305THU,Ag/Urban,29.94189118,2015,6/9/15,0.389521745
515SACKNK,Agriculture,6.146661143,2017,8/1/17,0.387909507
637SUS001,Open,4.1837677,2008,9/22/08,0.3875
307CML,Urban,28.05874008,2011,6/23/11,0.384848485
305THU,Ag/Urban,29.94189118,2009,6/16/09,0.383211679
403STCSSP,Open,13.01702376,2016,6/1/16,0.368128609
508SACBLF,Open,3.223626791,2010,8/19/10,0.368083648
558TUR090,Agriculture,2.271640363,2016,7/13/16,0.357447398
723NROTWM,Agriculture,5.323325137,2016,10/26/16,0.356365345
201WLK160,Open,1.56303558,2017,6/28/17,0.353592773
207LAU020,Urban,58.03184802,2014,6/24/14,0.350387597
204SMA020,Urban,89.17161114,2017,6/28/17,0.35017884
315MIS,Urban,82.12081541,2008,6/10/08,0.348837209
901SJSJC9,Urban,78.80614893,2011,5/24/11,0.348062016
204ALA020,Urban,91.04046243,2011,7/7/11,0.341649049
305THU,Ag/Urban,29.94189118,2013,6/11/13,0.33568782
402VRB0xx,Urban,25.815,2014,6/3/14,0.329457364
520CBDKLU,Agriculture,6.633542215,2013,8/22/13,0.329457364
520BUTPAS,Agriculture,2.438297167,2012,8/29/12,0.32627907
723ARGRB1,Open,5.232759616,2012,10/15/12,0.326276493
909SWRWSx,Urban,86.47093915,2011,10/4/11,0.314728682
408CGCS06,Urban,37.11047055,2010,5/27/10,0.312489949
408CGCS06,Urban,37.11047055,2013,5/29/13,0.312403101
520CBDKLU,Agriculture,6.633542215,2011,8/18/11,0.310077519
312SMA,Open,5.093615537,2015,6/18/15,0.307127809
204SLE030,Urban,98.37352138,2013,6/25/13,0.303875969
315MIS,Urban,82.12081541,2014,6/4/14,0.281395349
504BCHROS,Urban,85.93501477,2016,7/28/16,0.27751938
515SACKNK,Agriculture,6.146661143,2014,8/26/14,0.263565891
